player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Clay Hall,19.5,0.33333333333333337,0.4,0.2857142857142857,0.2
Clay Hall,24.5,0,0,0,0
Clayton Oliver,14.5,1,1,1,1
Clayton Oliver,19.5,1,1,1,0.9
Clayton Oliver,24,0.33333333333333337,0.2,0.42857142857142855,0.4
Clayton Oliver,24.5,0.33333333333333337,0.2,0.42857142857142855,0.4
Clayton Oliver,29.5,0,0,0.14285714285714288,0.20000000000000004
Clayton Oliver,34.5,0,0,0,0
Clayton Oliver,39.5,0,0,0,0
Colby McKercher,19.5,1,1,1,0.9
Colby McKercher,24.5,0.6666666666666666,0.8,0.8571428571428571,0.7
Colby McKercher,29.5,0.33333333333333337,0.6,0.42857142857142855,0.4
Colby McKercher,34.5,0,0,0,0.1
Colby McKercher,39.5,0,0,0,0
Connor Budarick,9.5,0.6666666666666666,0.6,0.42857142857142855,0.4
Connor Budarick,14.5,0.6666666666666666,0.4,0.2857142857142857,0.3
Connor Budarick,19.5,0.6666666666666666,0.4,0.2857142857142857,0.20000000000000004
Connor Budarick,24.5,0,0,0,0
Connor Budarick,29.5,0,0,0,0
Connor Idun,9.5,1,1,1,1
Connor Idun,11.5,1,1,1,1
Connor Idun,12.5,1,1,1,1
Connor Idun,13.5,0.6666666666666666,0.8,0.8571428571428571,0.9
Connor Idun,14.5,0.6666666666666666,0.8,0.8571428571428571,0.9
Connor Idun,15.5,0.6666666666666666,0.6,0.7142857142857143,0.8
Connor Idun,16.5,0.6666666666666666,0.6,0.7142857142857143,0.8
Connor Idun,17.5,0.33333333333333337,0.4,0.5714285714285714,0.7
Connor Idun,18.5,0.33333333333333337,0.4,0.5714285714285714,0.6
Connor Idun,19.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Connor Idun,20.5,0.33333333333333337,0.2,0.2857142857142857,0.3
Connor Idun,21.5,0,0,0.14285714285714288,0.2
Connor Idun,22.5,0,0,0.14285714285714288,0.2
Connor Idun,23.5,0,0,0,0.1
Connor Idun,24.5,0,0,0,0.1
Connor Idun,25.5,0,0,0,0
Connor Idun,26.5,0,0,0,0
Connor Idun,27.5,0,0,0,0
Connor Idun,28.5,0,0,0,0
Connor Idun,29.5,0,0,0,0
Connor O'Sullivan,9.5,1,1,1,0.9
Connor O'Sullivan,14.5,0.33333333333333337,0.4,0.2857142857142857,0.3
Connor O'Sullivan,19.5,0,0,0,0.1
Connor O'Sullivan,24.5,0,0,0,0
Connor Rozee,14.5,1,1,1,1
Connor Rozee,19.5,0.6666666666666666,0.8,0.8571428571428571,0.9
Connor Rozee,24.5,0.33333333333333337,0.6,0.7142857142857143,0.8
Connor Rozee,29.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Connor Rozee,34.5,0,0,0,0
