match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Nick Blakey,Sydney Swans,119.5,6.5,BetRight,North Melbourne Kangaroos,Fantasy Points - Nick Blakey,47667713,120+ Fantasy Points,5,267813974
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Patrick Cripps,Carlton,79.5,1.3,BetRight,Melbourne Demons,Fantasy Points - Patrick Cripps,47667741,80+ Fantasy Points,1,267814109
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Patrick Cripps,Carlton,89.5,1.6,BetRight,Melbourne Demons,Fantasy Points - Patrick Cripps,47667741,90+ Fantasy Points,2,267814110
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Patrick Cripps,Carlton,99.5,2.1,BetRight,Melbourne Demons,Fantasy Points - Patrick Cripps,47667741,100+ Fantasy Points,3,267814111
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Patrick Cripps,Carlton,109.5,3,BetRight,Melbourne Demons,Fantasy Points - Patrick Cripps,47667741,110+ Fantasy Points,4,267814112
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Patrick Cripps,Carlton,119.5,5.5,BetRight,Melbourne Demons,Fantasy Points - Patrick Cripps,47667741,120+ Fantasy Points,5,267814113
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Sam Docherty,Carlton,79.5,1.3,BetRight,Melbourne Demons,Fantasy Points - Sam Docherty,47667742,80+ Fantasy Points,1,267814114
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Sam Docherty,Carlton,89.5,1.6,BetRight,Melbourne Demons,Fantasy Points - Sam Docherty,47667742,90+ Fantasy Points,2,267814115
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Sam Docherty,Carlton,99.5,2.1,BetRight,Melbourne Demons,Fantasy Points - Sam Docherty,47667742,100+ Fantasy Points,3,267814116
Carlton v Melbourne Demons,Carlton,Melbourne Demons,Player Fantasy Points,Sam Docherty,Carlton,109.5,3,BetRight,Melbourne Demons,Fantasy Points - Sam Docherty,47667742,110+ Fantasy Points,4,267814117
