player_full_name,position,position_source
Karl Worner,MEDIUM_DEFENDER,fitzroy_player_details
Kayle Gerreyn,KEY_DEFENDER,fitzroy_player_details
Keidean Coleman,MEDIUM_DEFENDER,fitzroy_player_details
Keighton Matofai-Forbes,MEDIUM_DEFENDER,fitzroy_player_details
Kieren Briggs,RUCK,fitzroy_player_details
Kobe McDonald,MEDIUM_DEFENDER,fitzroy_player_details
Koby Coulson,MIDFIELDER,fitzroy_player_details
Koby Evans,MEDIUM_FORWARD,fitzroy_player_details
Koltyn Tholstrup,MEDIUM_DEFENDER,fitzroy_player_details
Kye Annand,KEY_DEFENDER,fitzroy_player_details
Kye Fincher,MIDFIELDER,fitzroy_player_details
Kyle Langford,MEDIUM_FORWARD,fitzroy_player_details
Kysaiah Pickett,MIDFIELDER,fitzroy_player_details
Lachie Ash,MEDIUM_DEFENDER,fitzroy_player_details
Lachie Fogarty,MEDIUM_FORWARD,fitzroy_player_details
Lachie Jaques,MEDIUM_DEFENDER,fitzroy_player_details
Lachie Jones,KEY_DEFENDER,fitzroy_player_details
Lachie Neale,MIDFIELDER,fitzroy_player_details
Lachie Schultz,MEDIUM_FORWARD,fitzroy_player_details
Lachie Weller,MIDFIELDER,fitzroy_player_details
Lachie Whitfield,MEDIUM_DEFENDER,fitzroy_player_details
Lachlan Blakiston,KEY_DEFENDER,fitzroy_player_details
Lachlan Bramble,MEDIUM_DEFENDER,fitzroy_player_details
Lachlan Carmichael,MEDIUM_DEFENDER,fitzroy_player_details
Lachlan Cowan,MEDIUM_DEFENDER,fitzroy_player_details
Lachlan Gulbin,MEDIUM_FORWARD,fitzroy_player_details
Lachlan McAndrew,RUCK,fitzroy_player_details
Lachlan McNeil,MIDFIELDER_FORWARD,fitzroy_player_details
Lachlan Sholl,MIDFIELDER,fitzroy_player_details
Lachlan Smith,RUCK,fitzroy_player_details
Lachlan Sullivan,MEDIUM_FORWARD,fitzroy_player_details
Lachy Brewer,KEY_DEFENDER,fitzroy_player_details
Lachy Dovaston,MEDIUM_FORWARD,fitzroy_player_details
Laitham Vandermeer,MEDIUM_FORWARD,fitzroy_player_details
Lance Collard,MEDIUM_DEFENDER,fitzroy_player_details
Latrelle Pickett,MEDIUM_FORWARD,fitzroy_player_details
Lawson Humphries,MEDIUM_DEFENDER,fitzroy_player_details
Leek Aleer,RUCK,fitzroy_player_details
Lennox Hofmann,MEDIUM_DEFENDER,fitzroy_player_details
Leon Kickett,MEDIUM_FORWARD,fitzroy_player_details
