player_full_name,position
Nick Bryan,RUCK
Nic Martin,MIDFIELDER_FORWARD
Zach Reid,KEY_DEFENDER
Liam McMahon,KEY_FORWARD
Jye Menzie,MEDIUM_FORWARD
Sam Durham,MIDFIELDER
Nik Cox,MIDFIELDER
Archie Perkins,MEDIUM_FORWARD
Saad El-Hawli,MIDFIELDER
Ben Hobbs,MEDIUM_FORWARD
Alwyn Davey Jnr,MEDIUM_FORWARD
Thomas Edwards,KEY_FORWARD
Jayden Nguyen,MEDIUM_DEFENDER
Lewis Hayes,MEDIUM_DEFENDER
Archie Roberts,MEDIUM_DEFENDER
Elijah Tsatas,MIDFIELDER
Angus Clarke,MIDFIELDER
Oskar Smartt,MEDIUM_FORWARD
Luamon Lual,MIDFIELDER_FORWARD
Nate Caddy,KEY_FORWARD
Vigo Visentini,RUCK
Lachlan Blakiston,RUCK
Zak Johnson,MEDIUM_DEFENDER
Isaac Kako,MEDIUM_FORWARD
Archer May,KEY_FORWARD
Kayle Gerreyn,KEY_FORWARD
Archer Day-Wicks,MEDIUM_FORWARD
Rhys Unwin,MEDIUM_FORWARD
Todd Goldstein,RUCK
Dylan Shiel,MIDFIELDER
Jayden Laverde,MEDIUM_DEFENDER
Peter Wright,KEY_FORWARD
Jade Gresham,MEDIUM_FORWARD
Kyle Langford,KEY_FORWARD
Zach Merrett,MIDFIELDER
Darcy Parish,MIDFIELDER
Matt Guelfi,MEDIUM_FORWARD
Mason Redman,MEDIUM_DEFENDER
Andrew McGrath,MEDIUM_DEFENDER
Will Setterfield,MIDFIELDER
Hayden McLean,KEY_FORWARD
Ben Paton,MEDIUM_DEFENDER
Nick Blakey,MEDIUM_DEFENDER
James Rowbottom,MIDFIELDER
Sam Wicks,MEDIUM_DEFENDER
Joel Amartey,KEY_FORWARD
Tom McCartin,KEY_DEFENDER
Riley Bice,MEDIUM_DEFENDER
Jack Buller,KEY_FORWARD
Justin McInerney,MIDFIELDER_FORWARD
Chad Warner,MIDFIELDER
Matt Roberts,MEDIUM_DEFENDER
Errol Gulden,MIDFIELDER
Braeden Campbell,MEDIUM_FORWARD
Logan McDonald,KEY_FORWARD
James Jordon,MIDFIELDER
William Edwards,KEY_DEFENDER
Corey Warner,MIDFIELDER_FORWARD
Angus Sheldrick,MIDFIELDER
Caiden Cleary,MEDIUM_FORWARD
Caleb Mitchell,MEDIUM_DEFENDER
Patrick Snell,KEY_DEFENDER
Indhi Kirk,MIDFIELDER
Ned Bowman,MEDIUM_FORWARD
Riak Andrew,KEY_DEFENDER
Tom Hanily,MEDIUM_FORWARD
William Green,RUCK
Blake Leidler,MEDIUM_DEFENDER
Jesse Dattoli,MIDFIELDER_FORWARD
Dane Rampe,MEDIUM_DEFENDER
Taylor Adams,MEDIUM_FORWARD
Robbie Fox,MEDIUM_FORWARD
Harry Cunningham,MEDIUM_DEFENDER
Brodie Grundy,RUCK
Joel Hamling,KEY_DEFENDER
Jake Lloyd,MIDFIELDER
Isaac Heeney,MIDFIELDER
Aaron Francis,KEY_FORWARD
Callum Mills,MIDFIELDER_FORWARD
Lewis Melican,KEY_DEFENDER
Tom Papley,MEDIUM_FORWARD
Will Hayward,MEDIUM_FORWARD
Peter Ladhams,KEY_FORWARD
Oliver Florent,MIDFIELDER
Andrew Brayshaw,MIDFIELDER
Jordan Clark,MEDIUM_DEFENDER
Hayden Young,MIDFIELDER
Jeremy Sharp,MIDFIELDER
Luke Jackson,RUCK
Brandon Walker,MEDIUM_DEFENDER
Caleb Serong,MIDFIELDER
Isaiah Dudley,MEDIUM_FORWARD
Josh Treacy,KEY_FORWARD
Nathan O'Driscoll,MIDFIELDER
Heath Chapman,MEDIUM_DEFENDER
Sam Sturt,MEDIUM_FORWARD
